timestamp,power_kw,temperature_c,apparent_temperature_c,relative_humidity_pct,wind_gust_ms,solar_altitude_deg,ghi,dhi,uv,hour_of_day,is_potential_shutdown,is_daytime,weather_score
2026-06-13 23:30:00,-0.09110077453670513,0.03621984573011983,0.23711080654145034,0.6398248513033469,-1.0299491049183505,-1.191741913837043,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,23,0,0,1.1850249199453264
2026-06-13 23:45:00,-0.09110077453670513,0.03621984573011983,0.23711080654145034,0.6398248513033469,-1.1640082014978,-1.2224616138097653,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,23,0,0,1.1850249199453264
2026-06-14 00:00:00,-0.09110077453670513,0.03621984573011983,0.23711080654145034,0.6398248513033469,-1.3057318769756523,-1.2555443676265432,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,0,0,0,1.1850249199453264
2026-06-14 00:15:00,-0.09110077453670513,-0.009347041672448727,0.19695789557114984,0.6398248513033469,-1.3057318769756523,-1.2626335291587096,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,0,0,0,1.1850249199453264
2026-06-14 00:30:00,-0.09110077453670513,-0.009347041672448727,0.1768814400859989,0.7787240531699421,-1.3057318769756523,-1.2720857445349318,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,0,0,0,1.1850249199453264
2026-06-14 00:45:00,-0.09110077453670513,-0.05554142186493676,0.15680498460084796,0.9227429834963435,-1.3057318769756523,-1.2791749060670987,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,0,0,0,1.1850249199453264
2026-06-14 01:00:00,-0.09110077453670513,-0.10237407325605354,0.11665207363054604,0.9227429834963435,-1.3057318769756523,-1.2862640675992651,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,1,0,0,1.1850249199453264
2026-06-14 01:15:00,-0.09110077453670513,-0.19799841683611513,0.016269796204792717,1.0720134685603195,-1.3057318769756523,-1.267359636846821,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,1,0,0,3.061947982883478
2026-06-14 01:30:00,-0.09110077453670513,-0.2963108403530756,-0.10418893670611014,1.226669295233955,-1.3057318769756523,-1.2508182599384319,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,1,0,0,3.061947982883478
2026-06-14 01:45:00,-0.09110077453670513,-0.3974059356197174,-0.20457121413186347,1.3868462192644249,-1.3057318769756523,-1.2319138291859877,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,1,0,0,3.061947982883478
2026-06-14 02:00:00,-0.09110077453670513,-0.5013823073263003,-0.3250299470427678,1.552681973503383,-1.3057318769756523,-1.213009398433543,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,2,0,0,1.1850249199453264
2026-06-14 02:15:00,-0.09110077453670513,-0.5013823073263003,-0.3250299470427678,1.552681973503383,-0.6107261538191466,-1.1704744292405433,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,2,0,0,1.1850249199453264
2026-06-14 02:30:00,-0.09110077453670513,-0.5013823073263003,-0.3451064025279187,1.3868462192644249,-0.06848862016686173,-1.1303025138915987,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,2,0,0,1.1850249199453264
2026-06-14 02:45:00,-0.09110077453670513,-0.5013823073263003,-0.36518285801306966,1.226669295233955,0.3761852933515294,-1.0901305985426546,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,2,0,0,1.1850249199453264
2026-06-14 03:00:00,-0.09110077453670513,-0.5013823073263003,-0.36518285801306966,1.226669295233955,0.7531078526599696,-1.04995868319371,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,3,0,0,3.061947982883478
2026-06-14 03:15:00,-0.09110077453670513,-0.5544829323644616,-0.42541222446852106,1.226669295233955,0.9368577766037168,-0.9932453909363769,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,3,0,0,3.061947982883478
2026-06-14 03:30:00,-0.09110077453670513,-0.5544829323644616,-0.465565135438823,1.226669295233955,1.1079248631796585,-0.9365320986790436,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,3,0,0,3.061947982883478
2026-06-14 03:45:00,-0.09110077453670513,-0.6083427739828643,-0.5057180464091242,1.226669295233955,1.2679474357292286,-0.8821818602657658,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,3,0,0,3.061947982883478
2026-06-14 04:00:00,-0.09110077453670513,-0.662975377170667,-0.5659474128645763,1.226669295233955,1.4182655367937298,-0.8254685680084327,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,4,0,0,3.061947982883478
